"(PDH-TSV 4.0) (Hora de verano romance)(-120)"	"\\GI-AN-B3_01\Disco físico(0 D: C:)\% de tiempo inactivo"	"\\GI-AN-B3_01\Disco físico(0 D: C:)\Longitud promedio de la cola de disco"	"\\GI-AN-B3_01\Disco físico(0 D: C:)\Transferencias de disco/s"	"\\GI-AN-B3_01\Disco físico(0 D: C:)\Promedio de segundos de disco/transferencia"	"\\GI-AN-B3_01\Disco físico(0 D: C:)\Promedio de bytes de disco/transferencia"	"\\GI-AN-B3_01\Interfaz de red(Controladora Realtek PCIe GBE Family)\Ancho de banda actual"	"\\GI-AN-B3_01\Interfaz de red(Controladora Realtek PCIe GBE Family)\Total de bytes/s"	"\\GI-AN-B3_01\Memoria\Bytes disponibles"	"\\GI-AN-B3_01\Memoria\Bytes de caché"	"\\GI-AN-B3_01\Memoria\Páginas/s"	"\\GI-AN-B3_01\Memoria\Errores de página/s"	"\\GI-AN-B3_01\Procesador(_Total)\% de tiempo de procesador"
"10/05/2022 10:09:17.051"	" "	" "	" "	" "	" "	"1000000000"	" "	"16006213632"	"44834816"	" "	" "	" "
"10/05/2022 10:09:18.061"	"99.840795210255152"	"9.8989485633804434e-005"	"1.986317108170865"	"5.0045056591014155e-005"	"4096"	"1000000000"	"0"	"16005890048"	"44838912"	"0"	"226.44015033147863"	"0.23715900968146464"
"10/05/2022 10:09:19.051"	"99.472409409813196"	"0.0077768052843492901"	"62.611514520469129"	"0.00012419163030371398"	"4624.5161290322585"	"1000000000"	"0"	"16005349376"	"43028480"	"0"	"1650.1163665555896"	"2.9477424944234221"
"10/05/2022 10:09:20.051"	"99.139481301033953"	"0.0098989497214345551"	"4.9994113982803201"	"0.0019799877517932009"	"10649.6"	"1000000000"	"0"	"16005365760"	"43024384"	"0"	"2.9996468389681921"	"0.010608874398421175"
"10/05/2022 10:09:21.051"	"100.15942316491378"	"0.00019997888223003652"	"1.9998075375357938"	"0.00010009011318202831"	"4096"	"1000000000"	"0"	"16002727936"	"43024384"	"0"	"1659.8402561547089"	"2.3540614111149827"
"10/05/2022 10:09:22.051"	"93.940051748519835"	"0.099889421710240886"	"147.98466598706531"	"0.00067499917436928032"	"19096.216216216217"	"1000000000"	"30816.806795414548"	"15998160896"	"45842432"	"0.99989639180449541"	"1714.8223119447096"	"9.3845961712654571"
"10/05/2022 10:09:23.051"	"99.689542566984727"	"0.0049994755550142791"	"1.9998056130982127"	"0.0025000072180370084"	"4096"	"1000000000"	"0"	"16000737280"	"43290624"	"0"	"0.99990280654910635"	"0.010488899714422573"
"10/05/2022 10:09:24.052"	"99.689482759568875"	"0.0048994831045324717"	"1.9997921421388507"	"0.0024499621614459941"	"4096"	"1000000000"	"0"	"16000737280"	"43290624"	"0"	"0"	"0.010548887092409753"
"10/05/2022 10:09:25.052"	"99.219532339338201"	"0.009698976757952036"	"2.9996853265963499"	"0.0032333597780822543"	"5461.333333333333"	"1000000000"	"0"	"16000745472"	"43290624"	"0"	"0"	"0.010548887092409753"
"10/05/2022 10:09:26.052"	"100.16939206138069"	"0.0001999788222427245"	"1.9996940020553826"	"9.9929712359621213e-005"	"4096"	"1000000000"	"0"	"16000745472"	"43290624"	"0"	"0"	"0.010588878637751709"
"10/05/2022 10:09:27.052"	"99.689542566984727"	"0.0047994965328137075"	"1.9998851596056932"	"0.0024000775056773871"	"4096"	"1000000000"	"0"	"16000745472"	"43290624"	"0"	"0"	"0.010488899714422573"
"10/05/2022 10:09:28.052"	"99.699441829110299"	"0.0048994811449467497"	"1.9997876518593933"	"0.0024499621614459941"	"4096"	"1000000000"	"0"	"16000745472"	"43290624"	"0"	"0"	"0.010588878637751709"
"10/05/2022 10:09:29.058"	"93.33270110841157"	"0.10855182619063311"	"155.0654360457886"	"0.00069999947108857026"	"18694.564102564102"	"1000000000"	"30635.363711097463"	"15998005248"	"45944832"	"0.99400920542172178"	"1644.0912257675277"	"5.2532423645172299"
"10/05/2022 10:09:30.070"	"93.785497573625179"	"0.10931263601689266"	"170.98836316340842"	"0.00063930761080595896"	"18254.42774566474"	"1000000000"	"30461.626316163281"	"16000479232"	"43560960"	"0.9883720414069852"	"1626.8603801558977"	"5.7969202499088439"
"10/05/2022 10:09:31.056"	"100.14334442262418"	"0.00020282196338759328"	"2.0283080314645021"	"9.9929712359621213e-005"	"6144"	"1000000000"	"0"	"16000479232"	"43560960"	"0"	"0"	"0.1735648951689317"
"10/05/2022 10:09:32.060"	"85.806084225005534"	"0.2098345165530254"	"349.5540986906106"	"0.00060028476894815859"	"17247.544159544159"	"1000000000"	"61386.081604812643"	"15994990592"	"48824320"	"1.9917612461003453"	"2814.3586407397879"	"12.081379143584369"
"10/05/2022 10:09:33.060"	"91.132669312473197"	"0.12516246377711324"	"206.93832726129847"	"0.00060483198225395971"	"15513.352657004831"	"1000000000"	"30810.817614459993"	"16000958464"	"42786816"	"0.99970206406424378"	"1031.6925301142996"	"3.1540441021737586"
"10/05/2022 10:09:34.054"	"92.191665708432694"	"0.11468627117810265"	"190.12917734595206"	"0.00060317328941548629"	"15907.216931216932"	"1000000000"	"38947.308095904125"	"15998554112"	"45236224"	"1.0059744833119155"	"901.35313704747637"	"7.2575383839356356"
"10/05/2022 10:09:35.067"	"74.830032102330733"	"0.34209425897078727"	"583.89960150195066"	"0.00058595641751371338"	"16085.983079526226"	"1000000000"	"111146.42532955405"	"15992696832"	"51179520"	"1.9759715786868044"	"3889.7000526449747"	"23.595573657892498"
