
HORA INICIO DE MEDICION  Wed Dec 22 09:58:42 2021

HORA FIN DE MEDICION Wed Dec 22 10:02:02 2021
 

Parametros del experimento: 
Usuarios: 150; Tpo. Reflex (seg); 2.000000; IP servidor: 192.168.203.235; Transitorio (seg): 0; Medicion (seg): 200 
Nº usu.; Nº pet.; Tpo Reflex (mseg); Tpo. Ini. (mseg); Tpo. Fin (mseg)
3;50;313.649200;196815.218750;198574.906250
4;0;9971.062500;5.084066;420.157898
4;1;139.852661;10396.974609;10692.906250
4;2;648.906677;10838.070313;11506.064453
4;3;139.590851;12166.764648;12980.654297
4;4;3097.910156;13120.786133;14811.891602
4;5;3315.601807;17913.429688;19387.281250
4;6;802.676758;22712.984375;24421.123047
4;7;225.649338;25224.279297;26999.207031
4;8;6394.997559;27227.132813;29046.535156
4;9;2857.307129;35446.929688;36929.148438
4;10;163.822311;39792.363281;41109.324219
4;11;136.125015;41280.542969;42855.539063
4;12;1212.149658;42999.941406;44618.339844
4;13;469.045593;45845.332031;46981.589844
4;14;2938.929932;47466.234375;49010.757813
4;15;875.374817;51952.367188;53262.582031
4;16;160.380386;54147.695313;55910.140625
4;17;318.224060;56085.246094;57774.871094
4;18;2574.640869;58108.207031;59786.539063
4;19;1992.763550;62371.160156;64060.347656
4;20;1396.513672;66053.062500;68248.492188
4;21;205.458435;69650.554688;70852.796875
4;22;498.978668;71069.695313;72999.570313
4;23;15.010277;73499.117188;75345.179688
4;24;70.821472;75360.531250;76877.218750
4;25;2566.475098;76960.976563;78466.062500
4;26;107.517410;81038.804688;82632.312500
4;27;635.275330;82743.257813;84591.601563
4;28;772.542480;85241.617188;86769.453125
4;29;1619.679443;87555.226563;89262.015625
4;30;2442.856445;90884.796875;92542.625000
4;31;483.062256;94986.789063;96749.804688
4;32;2704.130615;97242.875000;98801.304688
4;33;2370.476318;101512.070313;103017.320313
4;34;2057.445068;105400.593750;107209.273438
4;35;2132.604004;109268.484375;110581.164063
4;36;2431.089844;112715.609375;114201.875000
4;37;3390.663574;116641.101563;118263.562500
4;38;2126.408447;121660.546875;123413.398438
4;39;632.091431;125554.968750;127104.265625
4;40;1558.880493;127743.085938;129447.375000
4;41;817.778137;131019.000000;133086.968750
4;42;2745.368896;133910.796875;135340.750000
4;43;3246.656738;138090.437500;140195.484375
4;44;591.235535;143451.796875;145412.921875
4;45;134.165833;146011.031250;147808.265625
4;46;1515.831177;147945.140625;149786.343750
4;47;2812.723877;151314.000000;152735.343750
4;48;3275.645020;155562.328125;157429.125000
4;49;493.112335;160713.515625;162261.578125
4;50;1824.176025;162760.609375;164491.796875
4;51;358.341827;166323.656250;167859.015625
4;52;368.956940;168227.390625;170072.531250
4;53;210.131073;170447.578125;172452.546875
4;54;3477.663574;172670.640625;174342.578125
4;55;1551.442139;177831.718750;179467.718750
4;56;4511.974609;181027.437500;182771.140625
4;57;765.459717;187294.375000;189281.187500
4;58;204.173721;190047.843750;191951.296875
4;59;1683.942627;192158.468750;193599.515625
4;60;925.157349;195289.265625;197063.000000
5;0;9935.663086;0.785323;3713.667236
5;1;2690.493164;13652.087891;15530.714844
5;2;2632.979980;18225.960938;19570.208984
5;3;810.167480;22212.939453;24061.406250
5;4;1280.207275;24880.324219;26671.478516
5;5;2339.762695;27961.630859;29895.072266
5;6;537.335754;32243.339844;34022.671875
5;7;436.438599;34563.152344;35891.160156
5;8;1214.836792;36328.140625;37956.214844
5;9;5912.887207;39182.472656;40551.777344
5;10;173.584503;46472.625000;47941.132813
5;11;133.252258;48122.582031;50572.414063
5;12;3018.220703;50717.789063;52319.492188
5;13;2435.416992;55343.945313;57076.492188
5;14;194.463226;59515.062500;61071.804688
5;15;3490.207031;61269.902344;63109.425781
5;16;598.549622;66600.046875;68389.593750
5;17;1758.116089;68994.218750;70455.906250
5;18;2206.094482;72229.250000;73900.773438
5;19;4880.700195;76110.578125;77814.070313
5;20;334.896271;82696.367188;84294.101563
5;21;1962.737061;84631.687500;86423.398438
5;22;2875.988281;88399.070313;90211.421875
5;23;3154.137207;93089.828125;95350.421875
5;24;1779.101929;98509.554688;99988.062500
5;25;973.428040;101782.421875;103778.414063
5;26;1028.499146;104757.273438;106872.562500
5;27;2933.630615;107908.046875;109169.914063
5;28;31.125692;112105.273438;113492.359375
5;29;5405.568359;113528.218750;115072.429688
5;30;1901.791016;120480.828125;122270.578125
5;31;1685.785034;124179.570313;125783.679688
5;32;760.007813;127477.484375;129402.570313
5;33;4803.741211;130166.226563;131849.343750
5;34;213.931458;136666.500000;138393.562500
5;35;2382.292236;138608.546875;140401.765625
5;36;2047.226196;142790.328125;144801.343750
5;37;1018.114197;146863.859375;148548.921875
5;38;1446.834595;149570.343750;151371.578125
5;39;10813.489258;152830.421875;154771.875000
5;40;1672.359863;165588.703125;167742.625000
5;41;3417.446777;169415.000000;171082.203125
5;42;2110.915771;174499.640625;176075.156250
5;43;1099.462158;178191.109375;179833.625000
5;44;2284.109375;180933.187500;183227.500000
5;45;1600.429688;185526.250000;187012.625000
5;46;1166.681641;188622.640625;190645.312500
5;47;1266.248169;191814.734375;193226.015625
5;48;383.839447;194501.781250;196380.296875
5;49;1508.940186;196768.359375;198573.531250
6;0;9909.519531;5.224257;3542.966064
6;1;1060.396118;13464.568359;15465.738281
6;2;413.415680;16535.832031;18278.595703
6;3;1826.304443;18696.945313;20420.054688
6;4;343.864563;22259.771484;24490.628906
6;5;1686.777832;24849.072266;26650.904297
6;6;303.038788;28352.330078;30211.980469
6;7;672.004700;30524.394531;32249.250000
6;8;6046.350586;32931.371094;34776.386719
6;9;291.424744;40826.859375;42159.074219
6;10;183.461349;42453.019531;44253.000000
6;11;130.383621;44445.996094;45947.777344
6;12;217.943222;46081.910156;47572.003906
6;13;444.121490;47794.421875;49413.484375
6;14;1073.716309;49872.730469;51533.468750
6;15;702.644836;52615.347656;53959.562500
6;16;1160.456665;54670.183594;56874.609375
6;17;45.560394;58045.667969;59801.226563
6;18;1894.852661;59858.804688;61674.578125
6;19;433.707397;63583.585938;64928.253906
6;20;3277.843994;65365.472656;67301.125000
6;21;331.507446;70591.257813;72545.320313
6;22;725.849121;72889.679688;74615.851563
6;23;1731.971802;75344.882813;76654.710938
6;24;309.797272;78399.250000;80312.257813
6;25;98.071800;80632.515625;81908.312500
6;26;2786.984131;82008.164063;83610.085938
6;27;619.904785;86398.789063;87707.734375
6;28;2479.209961;88336.554688;90246.187500
6;29;744.626099;92728.726563;94601.359375
6;30;1476.369141;95346.234375;97046.007813
6;31;5167.171387;98525.171875;100094.687500
6;32;4433.152832;105274.046875;107182.382813
6;33;266.025452;111620.867188;113479.242188
6;34;1643.693115;113747.000000;115774.054688
6;35;2667.891357;117426.703125;119029.242188
6;36;1725.308228;121707.429688;123356.585938
6;37;7970.717773;125086.148438;126807.453125
6;38;940.532227;134790.843750;136270.156250
6;39;2546.096924;137213.375000;138739.046875
6;40;1792.817017;141287.453125;142948.640625
6;41;719.454224;144755.937500;146564.953125
6;42;1629.994873;147286.250000;148882.328125
6;43;87.968765;150526.265625;151917.312500
6;44;223.532257;152017.203125;153601.156250
6;45;74.555954;153838.750000;156033.703125
6;46;869.426941;156113.843750;157865.625000
6;47;404.653717;158740.250000;160376.437500
6;48;1569.287476;160791.656250;162612.062500
6;49;3677.300293;164181.515625;165938.515625
6;50;1405.121094;169618.156250;171718.828125
6;51;633.431396;173139.328125;174805.484375
6;52;5164.747070;175440.328125;177141.906250
6;53;5173.648926;182306.578125;184864.015625
6;54;188.216949;190047.828125;191809.703125
6;55;1253.870605;192002.265625;193566.421875
6;56;244.872940;194829.984375;196627.828125
6;57;352.072510;196877.750000;198574.000000
7;0;9883.711914;2.621592;3065.198730
7;1;174.383484;12963.741211;14440.023438
7;2;2052.158936;14628.652344;17139.031250
7;3;3996.184082;19196.994141;20696.992188
7;4;3705.905518;24708.443359;26500.023438
7;5;1195.324463;30211.824219;32209.394531
7;6;93.397522;33415.761719;34898.960938
7;7;939.067566;34993.726563;36388.500000
7;8;1186.467529;37330.875000;39051.386719
7;9;780.822510;40245.457031;41542.667969
7;10;193.387222;42327.996094;44207.937500
7;11;127.519218;44414.582031;45938.867188
7;12;1115.923096;46066.281250;47591.929688
7;13;2369.677490;48716.390625;50236.195313
7;14;2680.209229;52615.394531;53992.675781
7;15;2914.667969;56679.058594;58453.652344
7;16;1944.741577;61379.332031;63203.453125
7;17;1233.297119;65161.847656;66903.726563
7;18;1625.587280;68150.375000;69751.929688
7;19;1296.480835;71384.890625;72964.984375
7;20;1222.920288;74266.632813;75971.382813
7;21;2280.860840;77195.406250;79490.093750
7;22;3743.635010;81773.281250;83160.726563
7;23;909.130127;86914.523438;88778.789063
7;24;2393.774170;89701.078125;91896.625000
7;25;2478.366699;94296.734375;95981.132813
7;26;213.999374;98462.210938;100094.500000
7;27;2885.781982;100316.843750;102545.710938
7;28;1040.169922;105431.851563;107221.984375
7;29;2334.460449;108267.960938;110023.226563
7;30;1125.757813;112371.453125;113766.687500
7;31;655.503113;114903.835938;117045.859375
7;32;1254.213623;117711.257813;119568.437500
7;33;830.034180;120824.523438;122535.226563
7;34;38.952278;123367.007813;124797.054688
7;35;3000.904541;124836.148438;126168.718750
7;36;1448.219238;129181.765625;130741.117188
7;37;1659.723755;132191.625000;134082.828125
7;38;536.856689;135744.468750;137246.640625
7;39;1175.890747;137791.625000;139606.703125
7;40;1920.837280;140787.343750;142306.765625
7;41;3077.901367;144240.234375;146426.015625
7;42;1242.705078;149507.796875;151417.562500
7;43;2176.518555;152674.140625;154127.890625
7;44;1512.967896;156316.921875;158065.375000
7;45;1478.157593;159584.062500;161106.968750
7;46;610.772095;162588.765625;163979.734375
7;47;4551.987793;164603.843750;166447.984375
7;48;4879.299805;171014.218750;173054.734375
7;49;330.139160;177941.062500;179496.828125
7;50;6334.676758;179838.859375;181799.515625
7;51;786.512390;188138.187500;190298.156250
7;52;719.979065;191093.656250;192726.890625
7;53;822.561096;193460.453125;195107.718750
7;54;503.605652;195929.937500;197740.000000
8;0;9858.234375;5.385299;617.236023
8;1;2816.962891;10478.660156;10881.804688
8;2;202.754593;13699.048828;15853.606445
8;3;278.544556;16066.986328;18156.318359
8;4;1503.366943;18446.916016;20029.128906
8;5;801.218445;21540.996094;23499.960938
8;6;6017.698730;24301.195313;25789.853516
8;7;1247.482910;31821.445313;33637.242188
8;8;5749.554199;34899.871094;36246.378906
8;9;1430.169434;41999.835938;43751.722656
8;10;203.362732;45183.062500;46906.070313
8;11;124.658783;47113.707031;49011.269531
8;12;2788.706299;49138.332031;50697.410156
8;13;419.504150;53490.992188;55312.496094
8;14;125.698418;55738.914063;57460.042969
8;15;543.653870;57590.535156;59307.031250
8;16;3253.165771;59858.875000;61627.480469
8;17;4564.508301;64896.214844;67057.476563
8;18;1388.431885;71634.882813;73122.921875
8;19;2846.891113;74516.742188;76265.492188
8;20;230.917419;79118.085938;80783.882813
8;21;466.038177;81023.187500;82633.343750
8;22;981.787231;83103.484375;85330.757813
8;23;327.836700;86320.703125;87770.757813
8;24;581.252686;88102.085938;89806.648438
8;25;933.316589;90400.335938;92305.937500
8;26;1200.101196;93246.148438;95809.726563
8;27;604.734192;97018.726563;98469.617188
8;28;211.962433;99087.718750;101444.546875
8;29;137.955200;101657.500000;103746.343750
8;30;827.539917;103895.234375;105520.640625
8;31;2012.533691;106353.820313;108119.984375
8;32;83.127251;110145.882813;111313.968750
8;33;1618.445313;111402.101563;113479.250000
8;34;1300.920898;115107.007813;117669.320313
8;35;3400.665283;118976.992188;120398.914063
8;36;1204.778198;123804.507813;125118.226563
8;37;316.507324;126336.265625;128184.835938
8;38;201.134094;128508.789063;130002.460938
8;39;370.352173;130213.093750;131796.609375
8;40;2057.615967;132175.921875;134312.609375
8;41;625.655029;136385.203125;137800.890625
8;42;918.286682;138434.171875;140057.062500
8;43;666.375488;140990.609375;142720.265625
8;44;6228.831543;143389.250000;145259.046875
8;45;16.609785;151501.531250;152875.468750
8;46;381.696106;152892.921875;154715.125000
8;47;1890.449707;155109.171875;157104.796875
8;48;662.121338;159005.906250;160376.953125
8;49;1244.978638;161041.656250;162612.953125
8;50;1058.737183;163868.750000;166184.984375
8;51;952.387207;167246.859375;169011.296875
8;52;2280.669922;169977.578125;171711.859375
8;53;2770.331543;173999.421875;175578.171875
8;54;878.213501;178362.984375;180595.765625
8;55;994.893433;181486.937500;183491.156250
8;56;816.859680;184494.921875;185893.046875
8;57;9.667119;186715.796875;188470.062500
8;58;42.690025;188482.000000;190659.390625
8;59;3494.756104;190704.625000;192374.984375
8;60;1671.796509;195883.046875;197642.875000
9;0;9824.760742;2.171186;3542.237793
9;1;1115.389893;13370.871094;16170.997070
9;2;1602.604614;17288.304688;19149.556641
9;3;1007.277954;20759.630859;23155.919922
9;4;480.732178;24176.234375;25782.808594
9;5;472.057495;26271.419922;28098.861328
9;6;3871.416016;28571.052734;30494.330078
9;7;1612.148682;34375.640625;35790.445313
9;8;1158.386108;37408.984375;39484.828125
9;9;2397.818848;40655.015625;41760.328125
9;10;213.388123;44164.691406;45824.359375
9;11;121.802437;46050.679688;47564.218750
9;12;158.859955;47700.667969;49263.230469
9;13;2305.837158;49435.238281;51331.394531
9;14;967.973633;53647.218750;55856.378906
9;15;2468.276367;56835.324219;58506.496094
9;16;8397.397461;60988.273438;62569.839844
9;17;817.869934;70975.937500;72984.695313
9;18;1176.330444;73811.695313;75577.375000
9;19;84.145515;76757.781250;78503.414063
9;20;2860.111084;78602.406250;80413.914063
9;21;2659.336914;83275.421875;85331.468750
9;22;5311.287109;87992.796875;89771.671875
9;23;5534.402832;95096.226563;97429.781250
9;24;3285.717285;102971.500000;105066.320313
9;25;72.086578;108362.140625;110235.640625
9;26;3228.174805;110308.203125;112143.781250
9;27;2838.799316;115372.664063;117433.039063
9;28;3175.524414;120277.640625;121528.625000
9;29;1176.000732;124710.898438;125936.414063
9;30;568.154541;127118.062500;128754.515625
9;31;9089.949219;129337.984375;130740.703125
9;32;1912.085205;139829.890625;141834.937500
9;33;2938.664795;143748.671875;145781.734375
9;34;5533.431641;148726.546875;150112.078125
9;35;3901.242188;155656.125000;157798.437500
9;36;987.779358;161713.656250;163855.437500
9;37;2610.339844;164853.765625;166452.125000
9;38;6245.395020;169071.234375;170523.093750
9;39;4480.760254;176768.640625;178451.531250
9;40;2204.623779;182947.234375;184552.625000
9;41;2787.968018;186762.625000;188708.625000
9;42;639.220520;191502.218750;193029.109375
9;43;4677.066895;193679.234375;195723.562500
10;0;9800.018555;5.478652;3540.754639
10;1;209.453232;13355.276367;15588.936523
10;2;12.121980;15800.645508;17714.261719
10;3;2165.494141;17741.621094;19150.080078
10;4;4583.135742;21322.189453;23174.582031
10;5;189.491455;27758.437500;29693.322266
10;6;2859.856201;29883.681641;31649.490234
10;7;2058.469727;34516.281250;35864.027344
10;8;5491.163086;37924.632813;39554.332031
10;9;4344.955078;45058.046875;46827.273438
10;10;223.464020;51186.613281;52635.093750
10;11;118.950287;52865.402344;54508.226563
10;12;1024.216431;54638.894531;56334.292969
10;13;395.260529;57370.777344;59224.210938
10;14;2451.363037;59624.433594;61165.882813
10;15;396.376434;63630.437500;65190.976563
10;16;364.337921;65599.898438;67217.453125
10;17;2968.869141;67587.828125;69324.390625
10;18;984.581238;72307.351563;74104.335938
10;19;781.003052;75094.882813;76466.062500
10;20;1063.094482;77257.820313;79261.835938
10;21;610.275146;80333.570313;81683.179688
10;22;1275.466309;82305.710938;83994.992188
10;23;2568.017578;85272.921875;86769.687500
10;24;895.425903;89341.750000;91094.320313
10;25;2394.178467;91994.289063;93970.500000
10;26;326.542786;96378.031250;98258.343750
10;27;589.677551;98587.593750;100577.960938
10;28;1349.224365;101168.054688;102602.421875
10;29;3457.274414;103959.273438;105756.851563
10;30;338.507721;109221.609375;110712.218750
10;31;844.226807;111058.312500;112325.476563
10;32;422.517731;113184.445313;114626.148438
10;33;8405.542969;115060.078125;117165.750000
10;34;1008.490295;125586.250000;127103.359375
10;35;4569.898438;128118.132813;129468.648438
10;36;792.037109;134052.031250;135757.531250
10;37;745.955078;136557.093750;138393.390625
10;38;3388.005127;139142.281250;140905.640625
10;39;1925.147827;144302.781250;146359.375000
10;40;2363.101807;148288.968750;150248.046875
10;41;536.138245;152611.671875;154258.375000
10;42;394.368256;154796.625000;156740.906250
10;43;1483.276611;157136.218750;158925.312500
10;44;3273.761719;160416.609375;161951.296875
10;45;7822.032715;165228.859375;167126.296875
10;46;10582.462891;174955.937500;176619.421875
10;47;80.901474;187216.250000;189061.515625
10;48;40.321930;189155.390625;190915.046875
10;49;179.451309;190970.312500;192516.390625
10;50;763.670593;192709.671875;194874.187500
10;51;1332.161255;195648.687500;197332.687500
11;0;9775.577148;9.697195;3064.971436
11;1;2951.973145;12854.301758;14234.620117
11;2;1235.673340;17194.707031;19039.753906
11;3;5233.748535;20275.240234;22380.544922
11;4;1754.590698;27617.804688;29353.996094
11;5;7052.171875;31118.236328;33159.410156
11;6;2191.434570;40214.203125;41515.347656
11;7;2633.891113;43711.480469;45548.214844
11;8;1130.800903;48185.066406;50220.390625
11;9;153.119034;51358.507813;52867.039063
11;10;233.590912;53022.117188;55003.015625
11;11;116.102074;55250.167969;57068.140625
11;12;2583.062012;57197.859375;59342.785156
11;13;2243.971924;61932.078125;63598.382813
11;14;59.156677;65849.929688;67314.875000
11;15;2103.388428;67384.695313;69225.617188
11;16;855.803711;71338.007813;72872.109375
11;17;474.145233;73733.531250;75792.773438
11;18;809.618286;76273.429688;78101.531250
11;19;1859.588745;78914.914063;80693.007813
11;20;132.143478;82555.726563;83985.367188
11;21;3126.554443;84126.039063;85647.148438
11;22;26.728943;88774.117188;90709.445313
11;23;1422.696411;90744.203125;92338.664063
11;24;4936.821777;93765.414063;95742.242188
11;25;893.898499;100691.796875;102669.437500
11;26;1387.698608;103565.742188;105059.898438
11;27;2793.141357;106447.578125;108119.734375
11;28;410.790497;110917.632813;112324.718750
11;29;447.172394;112746.804688;114512.867188
11;30;132.534744;114966.335938;117045.656250
11;31;2403.291992;117192.320313;119003.742188
11;32;2899.002197;121410.531250;122975.015625
11;33;446.561737;125883.093750;127332.734375
11;34;3861.712646;127789.984375;129404.601563
11;35;5582.574219;133270.140625;134999.171875
11;36;613.839294;140584.296875;142092.500000
