"(PDH-TSV 4.0) (Hora estándar romance)(-60)"	"\\GI-AN-B3_06\Disco físico(0 D: C:)\% de tiempo de disco"	"\\GI-AN-B3_06\Disco físico(0 D: C:)\% de tiempo inactivo"	"\\GI-AN-B3_06\Disco físico(0 D: C:)\Longitud promedio de la cola de disco"	"\\GI-AN-B3_06\Disco físico(0 D: C:)\Promedio de bytes de disco/transferencia"	"\\GI-AN-B3_06\Disco físico(0 D: C:)\Promedio de segundos de disco/transferencia"	"\\GI-AN-B3_06\Disco físico(0 D: C:)\Transferencias de disco/s"	"\\GI-AN-B3_06\Interfaz de red(Controladora Realtek PCIe GBE Family)\Ancho de banda actual"	"\\GI-AN-B3_06\Interfaz de red(Controladora Realtek PCIe GBE Family)\Total de bytes/s"	"\\GI-AN-B3_06\Memoria\Bytes de caché"	"\\GI-AN-B3_06\Memoria\Bytes disponibles"	"\\GI-AN-B3_06\Memoria\Páginas/s"	"\\GI-AN-B3_06\Procesador(_Total)\% de tiempo de procesador"
"01/09/2019 11:33:11.392"	"0.19879251438835371"	"70.273153836283029"	"0.0019879251438835372"	"19114.666666666668"	"0.0006667340351417492"	"2.9819828897720329"	"1000000000"	"0"	"177676288"	"7078977536"	"32.801811787492362"	"5.262942361800194"
"01/09/2019 11:33:12.405"	"1153.3667527801636"	"59.039947864004574"	"11.533667527801637"	"73706.096256684497"	"0.062481817738356232"	"184.58905588810788"	"1000000000"	"12356.895401"	"169480192"	"7093420032"	"0"	"0.51630587411450879"
"01/09/2019 11:33:13.394"	"777.56927072134113"	"69.433052074687922"	"7.7756927072134117"	"70427.794285714292"	"0.043931428058144956"	"176.99945846360706"	"1000000000"	"35426.215870"	"162189312"	"7105851392"	"0"	"0.83476430487754438"
"01/09/2019 11:33:14.398"	"312.87910679329519"	"52.207888108324894"	"3.1287910679329518"	"62659.419847328245"	"0.023999236833457841"	"130.3702699216727"	"1000000000"	"25305.2358"	"156987392"	"7112511488"	"0"	"0"
"01/09/2019 11:33:15.399"	"174.8510461465977"	"52.384321539545113"	"1.748510461465977"	"69632"	"0.069947994745258951"	"24.99712914946161"	"1000000000"	"0"	"154443776"	"7115771904"	"12563.25890"	"0.010838825071357583"
"01/09/2019 11:33:16.398"	"1250.4706704196956"	"41.554009961961327"	"12.504706704196956"	"56151.208791208788"	"0.068700550071883498"	"182.03241000696266"	"1000000000"	"206918.84091791455"	"171409408"	"7085817856"	"484.08618924928533"	"47.651198340639866"
"01/09/2019 11:33:17.383"	"1289.2095421312763"	"45.301355587201044"	"12.892095421312764"	"66068.66367713004"	"0.056917040916192277"	"226.50329002675815"	"1000000000"	"4694686.56672983657"	"266178560"	"6950064128"	"2463.0963153134016"	"88.493729926725564"
"01/09/2019 11:33:18.399"	"2145.5593430747863"	"3.7195140071190318"	"21.455593430747864"	"76845.850746268654"	"0.16272014845771079"	"131.34977421951649"	"1000000000"	"2544393.14555294206"	"287170560"	"6908633088"	"1046.8773049734598"	"77.321916458928214"
"01/09/2019 11:33:19.384"	"3972.3313433366429"	"1.9400563225775325"	"39.723313433366428"	"69038.201183431956"	"0.1157038459056515"	"344.68045508182001"	"1000000000"	"1797476.54063162769"	"308510720"	"6876770304"	"775.02114160409235"	"56.355081093846415"
"01/09/2019 11:33:20.399"	"4467.1018302468228"	"0"	"44.671018302468227"	"71810.397003745325"	"0.16993558104339543"	"262.72235513373204"	"1000000000"	"2499108.98244252807"	"300072960"	"6873534464"	"612.03484978719598"	"61.92625847929034"
"01/09/2019 11:33:21.400"	"2967.9656924331712"	"0"	"29.679656924331713"	"66484.334975369464"	"0.14622068978475755"	"201.80072615133415"	"1000000000"	"3952437.16013598192"	"357642240"	"6798098432"	"1031.8677524388415"	"81.642574051407962"
"01/09/2019 11:33:23.385"	"3303.8804537015067"	"0"	"33.038804537015068"	"66134.702317290546"	"0.11692673765826306"	"283.47113223384048"	"1000000000"	"1954838.96905281319"	"418283520"	"6715940864"	"953.99910455880718"	"69.110750829081553"
"01/09/2019 11:33:24.389"	"4894.2585133490275"	"0"	"48.942585133490276"	"78679.880597014926"	"0.12228830855227629"	"400.23941062257876"	"1000000000"	"1899658.35946375749"	"392253440"	"6745645056"	"419.15619868682995"	"41.66526787757001"
"01/09/2019 11:33:26.390"	"4998.1644466795378"	"0"	"49.98164446679538"	"78098.259097525472"	"0.14552256177445061"	"341.76496324620734"	"1000000000"	"2312526.9786674795"	"433594368"	"6682312704"	"1062.1080007724202"	"74.221512164971529"
"01/09/2019 11:33:27.453"	"4517.6672608803947"	"0"	"45.176672608803948"	"83116.261682242985"	"0.11221775715775432"	"404.66959264763869"	"1000000000"	"2301904.59589614486"	"460738560"	"6649262080"	"951.16264066244048"	"76.11736762064433"
"01/09/2019 11:33:28.406"	"4771.6480931168326"	"0"	"47.716480931168327"	"82739.199999999997"	"0.12461561681672706"	"382.13382966925383"	"1000000000"	"2401372.68236012466"	"459608064"	"6636908544"	"1058.4583610838783"	"82.788750606753908"
"01/09/2019 11:33:29.390"	"4922.5114710164089"	"0"	"49.225114710164092"	"84409.336561743345"	"0.11733946752828821"	"422.22390013797576"	"1000000000"	"2570259.72480942655"	"485339136"	"6593454080"	"1489.5404903172655"	"79.367305338080612"
"01/09/2019 11:33:30.394"	"4698.1718775470017"	"0"	"46.981718775470021"	"79602.203592814374"	"0.14117455063358975"	"332.7670096700424"	"1000000000"	"1810670.86111159943"	"473698304"	"6595342336"	"526.05084163407901"	"51.348513816036736"
"01/09/2019 11:33:31.410"	"2952.4147988141144"	"0"	"29.524147988141145"	"79220.980132450335"	"0.099278476408504374"	"297.43314080328031"	"1000000000"	"1383200.19876482087"	"474173440"	"6592303104"	"260.99265666513008"	"27.684197641955855"
"01/09/2019 11:33:32.394"	"4130.3899344314341"	"0"	"41.303899344314345"	"82146.077922077922"	"0.13202240266354201"	"312.85238675107212"	"1000000000"	"2851800.77161152579"	"500305920"	"6551212032"	"1637.3962579309359"	"92.461133578112083"
"01/09/2019 11:33:33.411"	"4650.3711547906478"	"0"	"46.503711547906477"	"80058.181818181823"	"0.09999069775173669"	"461.68834416033781"	"1000000000"	"2246139.44096208681"	"518070272"	"6524887040"	"905.80715302493331"	"75.802664330448948"
"01/09/2019 11:33:34.396"	"4446.2213538119431"	"0"	"44.462213538119428"	"78857.337386018233"	"0.13304620035730644"	"336.74068717103427"	"1000000000"	"2673820.92921757459"	"552108032"	"6484901888"	"946.76333019211756"	"84.525479366841964"
"01/09/2019 11:33:35.411"	"4364.8743760298594"	"0"	"43.648743760298593"	"80631.258536585359"	"0.1081353661920658"	"399.30385214415043"	"1000000000"	"1934520.83815495746"	"532201472"	"6495887360"	"740.17299421842517"	"66.542037543895603"
"01/09/2019 11:33:36.396"	"4352.0022038025754"	"0"	"43.520022038025751"	"83550.573248407643"	"0.13644777023986682"	"322.57701771280512"	"1000000000"	"1741723.78675227449"	"530780160"	"6488436736"	"353.39647800383744"	"37.705075226500242"
"01/09/2019 11:33:37.412"	"5097.7055638702759"	"0"	"50.977055638702758"	"79570.140589569157"	"0.117413152253332"	"434.15120805947777"	"1000000000"	"2416002.68611045051"	"533237760"	"6478307328"	"1085.8702550784672"	"82.69418393806103"
"01/09/2019 11:33:38.412"	"4889.7128889505711"	"0"	"48.897128889505709"	"81433.716894977173"	"0.11164931525599402"	"437.95405759464603"	"1000000000"	"1889242.25294722203"	"544473088"	"6459875328"	"967.89846518634101"	"71.096865757871313"
"01/09/2019 11:33:39.412"	"4521.828425272709"	"0"	"45.218284252727088"	"75495.878419452885"	"0.13745623102887922"	"328.9640134516921"	"1000000000"	"1785154.83918658574"	"560533504"	"6433415168"	"738.91916699331455"	"64.456915338516453"
"01/09/2019 11:33:40.397"	"5274.58318168817"	"0"	"52.745831816881704"	"70896.770538243625"	"0.14726685492246147"	"358.17536710518777"	"1000000000"	"1686748.85019061607"	"545660928"	"6439690240"	"751.86387259190974"	"65.518370769353623"
"01/09/2019 11:33:41.413"	"4144.4606418156091"	"0"	"41.444606418156091"	"82680.834605597964"	"0.10711628515910657"	"382.34406429840135"	"1000000000"	"2267799.23146906382"	"570695680"	"6409654272"	"811.38664026683637"	"73.079814884623843"
"01/09/2019 11:33:42.398"	"5373.8478863135779"	"0"	"53.738478863135782"	"90993.116279069771"	"0.153829941638981"	"353.69278570863128"	"1000000000"	"1978484.94454376335"	"576802816"	"6396821504"	"630.27231871915978"	"57.554680114513459"
"01/09/2019 11:33:43.391"	"4724.4112725664418"	"0"	"47.244112725664415"	"83736.943589743591"	"0.12029359000475569"	"390.09060277025765"	"1000000000"	"2098752.74521965781"	"573902848"	"6387437568"	"1018.2364964618521"	"79.938152502378585"
"01/09/2019 11:33:44.407"	"4082.2076867118944"	"0"	"40.822076867118945"	"81480.095465393795"	"0.09896038208054761"	"409.85731881056381"	"1000000000"	"2191674.18701988249"	"592175104"	"6364684288"	"746.35115573379517"	"71.541535402896045"
"01/09/2019 11:33:45.393"	"4443.5915434733624"	"0"	"44.435915434733623"	"96278.407002188178"	"0.095965864168341949"	"469.37482907754264"	"1000000000"	"2975144.61265593895"	"616366080"	"6330970112"	"1085.6218694419313"	"86.939044239351929"
"01/09/2019 11:33:46.409"	"4490.5862837847817"	"0"	"44.905862837847813"	"98921.411764705888"	"0.083852205831637883"	"535.49021353942658"	"1000000000"	"2320021.13501595656"	"598667264"	"6349115392"	"879.03081009321318"	"83.464464144200903"
"01/09/2019 11:33:47.410"	"2829.7028642070477"	"0"	"28.297028642070476"	"89728"	"0.055292968530701578"	"511.8003489608937"	"1000000000"	"2251106.18707792868"	"612667392"	"6338088960"	"682.73366863337969"	"64.078966201893053"
"01/09/2019 11:33:48.425"	"4228.9229717471253"	"0"	"42.289229717471251"	"73910.551532033423"	"0.1196506965566564"	"353.24584543627736"	"1000000000"	"2420131.82356985344"	"612687872"	"6326173696"	"1088.2727160237403"	"80.002142293581244"
