"(PDH-TSV 4.0) (Hora estándar romance)(-60)"	"\\GI-AN-B3_08\Disco físico(0 D: C:)\% de tiempo de disco"	"\\GI-AN-B3_08\Disco físico(0 D: C:)\% de tiempo inactivo"	"\\GI-AN-B3_08\Disco físico(0 D: C:)\Longitud promedio de la cola de disco"	"\\GI-AN-B3_08\Disco físico(0 D: C:)\Promedio de bytes de disco/transferencia"	"\\GI-AN-B3_08\Disco físico(0 D: C:)\Promedio de segundos de disco/transferencia"	"\\GI-AN-B3_08\Disco físico(0 D: C:)\Transferencias de disco/s"	"\\GI-AN-B3_08\Interfaz de red(Controladora Realtek PCIe GBE Family)\Ancho de banda actual"	"\\GI-AN-B3_08\Interfaz de red(isatap.{E4048626-77B4-455C-B3B1-413959881D9F})\Ancho de banda actual"	"\\GI-AN-B3_08\Interfaz de red(Controladora Realtek PCIe GBE Family)\Paquetes/s"	"\\GI-AN-B3_08\Interfaz de red(isatap.{E4048626-77B4-455C-B3B1-413959881D9F})\Paquetes/s"	"\\GI-AN-B3_08\Interfaz de red(Controladora Realtek PCIe GBE Family)\Total de bytes/s"	"\\GI-AN-B3_08\Interfaz de red(isatap.{E4048626-77B4-455C-B3B1-413959881D9F})\Total de bytes/s"	"\\GI-AN-B3_08\Memoria\% de bytes confirmados en uso"	"\\GI-AN-B3_08\Memoria\Bytes de caché"	"\\GI-AN-B3_08\Memoria\Bytes disponibles"	"\\GI-AN-B3_08\Memoria\Páginas/s"	"\\GI-AN-B3_08\Procesador(_Total)\% de tiempo de DPC"	"\\GI-AN-B3_08\Procesador(_Total)\% de tiempo de procesador"	"\\GI-AN-B3_08\Procesador(_Total)\% de tiempo inactivo"
"12/22/2021 09:58:42.942"	"293.18412097103908"	"30.278311603920972"	"2.9318412097103907"	"388954.99526066351"	"0.0070350704606059874"	"416.66811420954974"	"1000000000"	"100000"	"804.70263763218736"	"0"	"247909.62903308572"	"0"	"6.2773660805274396"	"59547648"	"15792467968"	"1.9747303990973921"	"1.54304833271776"	"33.648921693136323"	"69.54917312360385"
"12/22/2021 09:58:43.934"	"336.03629308837026"	"3.516225415640009"	"3.3603629308837029"	"402485.14878892736"	"0.0057704151524832267"	"582.46059483796182"	"1000000000"	"100000"	"131.00324797393603"	"0"	"40139.395179214"	"0"	"6.1568504983028305"	"88190976"	"15787339776"	"4.0308691684288016"	"0"	"29.159140533756979"	"68.268795987996882"
"12/22/2021 09:58:44.935"	"350.8399468162624"	"3.2185317058357974"	"3.508399468162624"	"440266.7590987868"	"0.0060831892695346109"	"576.75484285764685"	"1000000000"	"100000"	"129.94476528855128"	"0"	"39815.076084412111"	"0"	"6.0354170200045019"	"79581184"	"15819976704"	"2.9987253528127216"	"0"	"29.719561935844862"	"66.722081386471487"
"12/22/2021 09:58:45.935"	"283.97060306572712"	"6.94634552761792"	"2.839706030657271"	"432621.25626204239"	"0.0054743737821625242"	"518.73640369004556"	"1000000000"	"100000"	"429.78160614011483"	"0"	"131775.03841098843"	"0"	"5.6688218449252137"	"63557632"	"15907635200"	"3.9979684292103705"	"1.5616784009932374"	"31.286150356297547"	"68.8099390910442"
"12/22/2021 09:58:46.933"	"0.58144331674515648"	"99.517031126364969"	"0.0058144331674515647"	"10798.545454545454"	"0.0005272822638490701"	"11.027423649263387"	"1000000000"	"100000"	"0"	"0"	"0"	"0"	"5.6685923709067829"	"46157824"	"15925096448"	"0"	"0"	"1.317540530859751"	"99.936943474787469"
"12/22/2021 09:58:47.936"	"0.019936555898165269"	"100.15128855443322"	"0.0001993655589816527"	"6144"	"9.9929904705687981e-005"	"1.9935783342809252"	"1000000000"	"100000"	"0.99678916714046262"	"0"	"59.807350028427756"	"0"	"5.6685923709067829"	"46157824"	"15925096448"	"0"	"0"	"0"	"99.70516824309999"
"12/22/2021 09:58:48.921"	"0.56882786720225875"	"99.605822603309804"	"0.0056882786720225875"	"5916.4444444444443"	"0.00062221381007401084"	"9.1418083954443894"	"1000000000"	"100000"	"0"	"0"	"0"	"0"	"5.6685923709067829"	"46157824"	"15925096448"	"0"	"0"	"0.01072646835296176"	"99.89742814637485"
"12/22/2021 09:58:49.921"	"0.47994859750520719"	"99.679324344362712"	"0.0047994859750520721"	"4096"	"0.002400082125379148"	"1.9997940661541629"	"1000000000"	"100000"	"0"	"0"	"0"	"0"	"5.6684463419859643"	"46157824"	"15925121024"	"0"	"0"	"0.010708853081831116"	"99.883882436191087"
"12/22/2021 09:58:50.928"	"34.396207582353604"	"75.026417577901455"	"0.34396207582353605"	"241385.87654320989"	"0.0021388876957817099"	"160.8186182280474"	"1000000000"	"100000"	"86.365554233581008"	"0"	"28645.568194990963"	"0"	"5.6825694247566165"	"47554560"	"15923761152"	"0.99270751992621853"	"0"	"4.6100844915788812"	"94.003187481170187"
"12/22/2021 09:58:51.943"	"111.75122075472721"	"34.0446581172368"	"1.1175122075472721"	"303323.6593059937"	"0.003577603021054612"	"312.3978915028456"	"1000000000"	"100000"	"238.486718434349"	"0"	"80604.568901579652"	"0"	"5.7644707880617601"	"59830272"	"15893725184"	"1.9709646151599092"	"1.539646260728871"	"13.779809399183229"	"85.773225132742141"
"12/22/2021 09:58:52.941"	"411.48868551456985"	"3.0972913335282586"	"4.1148868551456985"	"398200.69168026099"	"0.0066969005616161707"	"614.36524076137744"	"1000000000"	"100000"	"402.89531286472055"	"0"	"138792.42414616409"	"0"	"5.7476148783443488"	"75030528"	"15884120064"	"3.0066814392889594"	"0"	"29.521586767409158"	"66.373750445924756"
