User,Petition,Reflex,Tstart,Tend
0,0,5.90341,61812.4,63183.4
0,1,5.19247,69094.6,69144
0,2,1.0705,74351.6,74409.2
0,3,0.69492,75482.2,75603
0,4,0.616048,76310.9,76459.7
0,5,0.558679,77078.1,77574.7
0,6,0.548849,78144.5,78984.5
0,7,1.97379,79535.6,81296.2
0,8,0.452003,83278.1,85110
0,9,0.876432,85569,87823.2
0,10,1.14815,88702.4,90024.5
0,11,3.15042,91173.5,92380.4
0,12,0.547909,95536.6,97099.8
0,13,0.268637,97648.9,98924
0,14,0.24188,99197.7,99994.8
0,15,0.719567,100236,101499
0,16,1.31724,102221,103294
0,17,0.145662,104620,106266
0,18,0.351202,106417,108277
0,19,0.0496113,108643,110304
0,20,0.0849043,110367,112306
0,21,0.679122,112393,114347
0,22,2.1445,115038,116700
0,23,0.849217,118859,120970
0,24,1.59145,121822,123723
0,25,0.163045,125327,127205
0,26,1.7188,127381,128560
0,27,0.273792,130279,131535
0,28,0.187015,131817,132931
0,29,0.00353057,133120,134567
0,30,0.000335745,134579,136766
0,31,0.541026,136766,138200
0,32,1.02892,138753,140509
0,33,1.4558,141543,143239
0,34,1.33439,144709,147029
0,35,0.1916,148375,150147
0,36,4.1145,150350,152150
0,37,1.07637,156273,157228
0,38,2.61713,158309,159313
0,39,0.428758,161942,162935
0,40,3.16643,163369,163537
0,41,5.20764,166708,167037
0,42,0.0931672,172255,172616
0,43,1.41654,172715,173326
0,44,1.42853,174751,175117
0,45,0.584302,176560,176947
0,46,0.406285,177531,177855
0,47,0.194922,178266,178463
0,48,0.351479,178672,179115
0,49,0.796105,179469,180212
0,50,1.74129,181021,182377
0,51,0.325676,184123,185705
0,52,0.834137,186031,187342
0,53,0.859069,188188,189731
0,54,0.0574001,190602,192534
0,55,0.324638,192597,194370
0,56,2.44534,194704,196492
0,57,0.563655,198952,200478
0,58,1.04929,201043,202731
0,59,0.338662,203793,205267
0,60,0.545592,205608,207174
0,61,0.613699,207722,209864
0,62,1.11973,210485,212168
0,63,2.07549,213290,215211
0,64,1.64031,217288,218650
0,65,0.940836,220305,221978
0,66,0.241504,222926,224924
0,67,0.725459,225170,226926
0,68,0.0110666,227662,229402
0,69,0.314181,229423,231182
0,70,1.16884,231509,232845
0,71,1.95577,234026,235035
0,72,0.461563,236994,238306
0,73,0.780434,238777,239953
0,74,3.0317,240741,242523
0,75,0.392721,245565,247334
0,76,0.751938,247740,249631
0,77,2.10535,250386,251976
0,78,0.0569051,254093,255127
0,79,2.15042,255193,256182
0,80,0.109659,258335,259722
0,81,0.403569,259832,260911
0,82,1.31325,261327,262487
0,83,0.93721,263810,264870
0,84,2.9193,265817,267594
0,85,0.0373531,270521,271778
0,86,0.419085,271823,272986
0,87,2.06337,273406,274774
0,88,0.144054,276839,278262
0,89,0.216044,278412,280107
0,90,0.595321,280326,281847
0,91,1.81901,282443,283742
0,92,1.89923,285564,286987
0,93,0.222067,288888,290179
0,94,0.818272,290404,292059
0,95,2.04685,292881,294260
0,96,0.753868,296311,298057
0,97,0.343147,298823,300654
0,98,0.992651,300998,302388
0,99,1.40191,303394,304638
0,100,0.620759,306049,307185
0,101,0.420609,307810,309302
0,102,0.307901,309733,310919
0,103,0.358432,311239,312752
0,104,0.818201,313114,314844
0,105,2.30495,315677,317168
0,106,1.10021,319485,320776
0,107,0.198776,321885,323221
0,108,3.68463,323423,324635
0,109,0.725654,328320,329966
0,110,0.452105,330699,332460
0,111,0.938076,332923,334496
0,112,2.48255,335440,336775
0,113,0.0571879,339260,340232
0,114,0.0900658,340295,341342
0,115,0.658527,341435,342879
0,116,1.16749,343552,345001
0,117,0.826496,346173,347139
0,118,1.07897,347968,348945
0,119,0.182686,350028,351352
0,120,1.26418,351536,353141
0,121,0.86355,354419,356023
0,122,1.4326,356887,358321
1,0,5.19247,66054.6,66078
1,1,1.0705,71277,71328.7
1,2,0.69492,72406.2,72437.9
1,3,0.616048,73146.5,73172
1,4,0.558679,73788.9,74042.4
1,5,0.548849,74601.8,74639
1,6,1.97379,75196.3,75289
1,7,0.452003,77266,77935.5
1,8,0.876432,78394.5,79663.8
1,9,1.14815,80554.7,81867.4
1,10,3.15042,83027.8,84457.1
1,11,0.547909,87619.9,88933.1
1,12,0.268637,89491.3,90947.8
1,13,0.24188,91221.4,92408.8
1,14,0.719567,92650.7,94017.6
1,15,1.31724,94739.1,95978.9
1,16,0.145662,97303.6,98545.1
1,17,0.351202,98700.2,99739.2
1,18,0.0496113,100095,101502
1,19,0.0849043,101565,102450
1,20,0.679122,102535,103669
1,21,2.1445,104354,105726
1,22,0.849217,107875,110086
